SummerLST2020celsius,Summer2010 Celsius
28.49753,30.99764
24.06225,32.95993
30.05037,34.32496
22.31212,27.0357
30.50989,29.76549
8.011319,16.82081
31.86374,38.73806
23.7081,25.74734
31.17705,33.17833
19.16758,13.73615
27.12815,31.0621
26.55846,33.18362
30.23689,32.94992
26.14689,34.44879
31.74123,34.70806
16.32483,15.82161
31.03559,33.77001
7.443624,16.67018
28.18268,36.56946
